"";"sub";"run";"obj";"type";"z";"roi"
"226";29;"learned";"last";"within_item-across_pair";0,0256326741135518;"ca23dg_body_thre_0.5"
"227";29;"pre-learned";"first";"within_item-across_pair";0,00728772158846346;"ca23dg_body_thre_0.5"
"228";29;"pre-learned";"last";"within_item-across_pair";0,0101359368495156;"ca23dg_body_thre_0.5"
"229";31;"learned";"first";"within_item-across_pair";-0,00609028332000882;"ca23dg_body_thre_0.5"
"230";31;"learned";"last";"within_item-across_pair";-0,0186815796762999;"ca23dg_body_thre_0.5"
"231";31;"pre-learned";"first";"within_item-across_pair";0,00598291325434896;"ca23dg_body_thre_0.5"
"232";31;"pre-learned";"last";"within_item-across_pair";0,0145017550235902;"ca23dg_body_thre_0.5"
"233";32;"learned";"first";"within_item-across_pair";-0,0106848807125993;"ca23dg_body_thre_0.5"
"234";32;"learned";"last";"within_item-across_pair";0,0206647754651463;"ca23dg_body_thre_0.5"
"235";32;"pre-learned";"first";"within_item-across_pair";0,0211220449655034;"ca23dg_body_thre_0.5"
"236";32;"pre-learned";"last";"within_item-across_pair";-0,0327389504142848;"ca23dg_body_thre_0.5"
"237";33;"learned";"first";"within_item-across_pair";0,0163889033943431;"ca23dg_body_thre_0.5"
"238";33;"learned";"last";"within_item-across_pair";-0,0186969275130448;"ca23dg_body_thre_0.5"
"239";33;"pre-learned";"first";"within_item-across_pair";-0,00475680699727748;"ca23dg_body_thre_0.5"
"240";33;"pre-learned";"last";"within_item-across_pair";-0,0267063426466781;"ca23dg_body_thre_0.5"
"241";35;"learned";"first";"within_item-across_pair";-0,00173350559058477;"ca23dg_body_thre_0.5"
"242";35;"learned";"last";"within_item-across_pair";0,0231017082176276;"ca23dg_body_thre_0.5"
"243";35;"pre-learned";"first";"within_item-across_pair";0,0441491675086624;"ca23dg_body_thre_0.5"
"244";35;"pre-learned";"last";"within_item-across_pair";-0,0125876891242375;"ca23dg_body_thre_0.5"
"245";36;"learned";"first";"within_item-across_pair";-0,0111914809894046;"ca23dg_body_thre_0.5"
"246";36;"learned";"last";"within_item-across_pair";-0,00542215296151638;"ca23dg_body_thre_0.5"
"247";36;"pre-learned";"first";"within_item-across_pair";0,0111970019519698;"ca23dg_body_thre_0.5"
"248";36;"pre-learned";"last";"within_item-across_pair";-0,0134189048367108;"ca23dg_body_thre_0.5"
"249";1;"learned";"first";"within_pair-across_pair";-0,0223600957043199;"ca1_body_thre_0.5"
"250";1;"learned";"last";"within_pair-across_pair";-0,00975870921163987;"ca1_body_thre_0.5"
"251";1;"pre-learned";"first";"within_pair-across_pair";0,0074319194630668;"ca1_body_thre_0.5"
"252";1;"pre-learned";"last";"within_pair-across_pair";-0,00134049610607403;"ca1_body_thre_0.5"
"253";2;"learned";"first";"within_pair-across_pair";0,00713225066025121;"ca1_body_thre_0.5"
"254";2;"learned";"last";"within_pair-across_pair";-0,00517931594025714;"ca1_body_thre_0.5"
"255";2;"pre-learned";"first";"within_pair-across_pair";-0,0044972695723379;"ca1_body_thre_0.5"
"256";2;"pre-learned";"last";"within_pair-across_pair";0,0117746472496605;"ca1_body_thre_0.5"
"257";3;"learned";"first";"within_pair-across_pair";-0,0176063924184182;"ca1_body_thre_0.5"
"258";3;"learned";"last";"within_pair-across_pair";-0,00930802986031468;"ca1_body_thre_0.5"
"259";3;"pre-learned";"first";"within_pair-across_pair";-0,010903580521428;"ca1_body_thre_0.5"
"260";3;"pre-learned";"last";"within_pair-across_pair";-0,00416500253399657;"ca1_body_thre_0.5"
"261";4;"learned";"first";"within_pair-across_pair";0,0234041245437227;"ca1_body_thre_0.5"
"262";4;"learned";"last";"within_pair-across_pair";0,0224338587811912;"ca1_body_thre_0.5"
"263";4;"pre-learned";"first";"within_pair-across_pair";0,00538814537675098;"ca1_body_thre_0.5"
"264";4;"pre-learned";"last";"within_pair-across_pair";0,0145054412149232;"ca1_body_thre_0.5"
"265";5;"learned";"first";"within_pair-across_pair";0,0119565888829571;"ca1_body_thre_0.5"
"266";5;"learned";"last";"within_pair-across_pair";0,00572148984697293;"ca1_body_thre_0.5"
"267";5;"pre-learned";"first";"within_pair-across_pair";0,0204165621471599;"ca1_body_thre_0.5"
"268";5;"pre-learned";"last";"within_pair-across_pair";-0,0214774070017346;"ca1_body_thre_0.5"
"269";6;"learned";"first";"within_pair-across_pair";-0,0151335742376942;"ca1_body_thre_0.5"
"270";6;"learned";"last";"within_pair-across_pair";-0,00651610870858831;"ca1_body_thre_0.5"
"271";6;"pre-learned";"first";"within_pair-across_pair";-0,0217546760007189;"ca1_body_thre_0.5"
"272";6;"pre-learned";"last";"within_pair-across_pair";-0,0197564898379157;"ca1_body_thre_0.5"
"273";7;"learned";"first";"within_pair-across_pair";-0,00547064204273699;"ca1_body_thre_0.5"
"274";7;"learned";"last";"within_pair-across_pair";-0,0196283230340967;"ca1_body_thre_0.5"
"275";7;"pre-learned";"first";"within_pair-across_pair";-0,0465491760112996;"ca1_body_thre_0.5"
